null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
3043934363 |(22.0476, 267.601, 25.9241)| |(-0.092972, -0.950852, -0.29536)|
3043943373 |(16.2185, 270.568, 23.9084)| |(-0.108587, -0.951107, -0.289145)|
3043970458 |(-0.533086, 281.008, 20.0191)| |(-0.116647, -0.951084, -0.286064)|
3043979701 |(-8.08573, 286.42, 19.7464)| |(-0.121817, -0.951073, -0.283938)|
3043988604 |(-15.0153, 292.104, 19.7312)| |(-0.12409, -0.949781, -0.28726)|
3043997637 |(-21.6046, 298.156, 19.7134)| |(-0.128229, -0.946961, -0.294655)|
3044006618 |(-27.7826, 304.399, 19.5564)| |(-0.1319, -0.942836, -0.306042)|
3044015696 |(-34.2197, 311.477, 19.3296)| |(-0.13699, -0.937906, -0.318694)|
3044024628 |(-40.2229, 318.9, 18.9555)| |(-0.142039, -0.931122, -0.335913)|
3044033819 |(-42.9366, 325.039, 22.0238)| |(-0.153826, -0.933623, -0.323552)|
3044043007 |(-46.3586, 331.838, 23.2498)| |(-0.164694, -0.934202, -0.316452)|
3044051867 |(-49.8116, 338.805, 23.8851)| |(-0.176525, -0.930036, -0.32229)|
3044060863 |(-53.0875, 345.892, 23.7765)| |(-0.183635, -0.927223, -0.326399)|
3044069882 |(-55.5832, 351.645, 23.4425)| |(-0.185137, -0.925591, -0.330159)|
3044079017 |(-58.1609, 358.213, 22.9265)| |(-0.186305, -0.922525, -0.33799)|
3044087984 |(-60.8057, 365.259, 22.4358)| |(-0.18357, -0.913751, -0.362437)|
3044097136 |(-62.6603, 370.804, 22.0186)| |(-0.191266, -0.906533, -0.376319)|
3044106151 |(-64.5016, 376.368, 21.3153)| |(-0.197508, -0.901366, -0.385395)|
3044115122 |(-65.3832, 381.264, 20.5493)| |(-0.186891, -0.904111, -0.384259)|
3044124203 |(-65.6271, 386.581, 20.1657)| |(-0.166838, -0.900856, -0.400779)|
3044133334 |(-65.6528, 391.985, 18.8785)| |(-0.171996, -0.899357, -0.401964)|
3044142244 |(-65.1674, 394.482, 18.1141)| |(-0.152283, -0.893929, -0.421545)|
3044151247 |(-62.7459, 397.914, 17.729)| |(-0.138969, -0.896271, -0.421173)|
3044160249 |(-63.3455, 402.995, 13.1749)| |(-0.140636, -0.894172, -0.425062)|
3044169375 |(-61.8815, 405.978, 9.88486)| |(-0.112611, -0.888816, -0.444212)|
3044178371 |(-59.0002, 408.173, 7.63075)| |(-0.0907041, -0.88366, -0.459259)|
3044187388 |(-54.7778, 409.94, 4.45902)| |(-0.0728287, -0.877738, -0.473574)|
3044196489 |(-49.027, 411.938, 2.26451)| |(-0.0448093, -0.875764, -0.480655)|
3044205544 |(-42.9358, 412.35, 0.879577)| |(-0.00639511, -0.878726, -0.477284)|
3044214563 |(-37.2995, 412.771, -0.720837)| |(0.0254037, -0.880814, -0.47278)|
3044223598 |(-30.8611, 413.44, -3.66135)| |(0.049257, -0.871264, -0.488337)|
3044232614 |(-22.9309, 413.412, -5.81625)| |(0.0576295, -0.874764, -0.48111)|
3044241683 |(-15.6082, 412.772, -8.33218)| |(0.0780424, -0.875526, -0.476827)|
3044250882 |(-7.11986, 410.707, -10.3344)| |(0.115931, -0.87718, -0.465957)|
3044259743 |(0.12627, 408.747, -12.6431)| |(0.132745, -0.886048, -0.444181)|
3044268798 |(7.22624, 405.671, -14.591)| |(0.161075, -0.891615, -0.423175)|
3044278025 |(15.1016, 401.063, -15.6075)| |(0.173738, -0.900855, -0.397839)|
3044286947 |(22.8153, 395.412, -15.5213)| |(0.199956, -0.908166, -0.367767)|
3044295872 |(29.3055, 389.534, -14.7935)| |(0.202833, -0.91825, -0.340112)|
3044304873 |(35.2665, 382.349, -13.0127)| |(0.218864, -0.922345, -0.318399)|
3044313998 |(39.763, 375.137, -9.84155)| |(0.247069, -0.925781, -0.286157)|
3044322991 |(43.1368, 366.803, -6.26986)| |(0.266532, -0.926787, -0.264626)|
3044331989 |(45.3212, 357.502, -0.935737)| |(0.293718, -0.923764, -0.245742)|
3044341116 |(46.1352, 347.912, 4.78162)| |(0.322652, -0.916347, -0.237074)|
3044350162 |(45.8165, 339.085, 11.0669)| |(0.329129, -0.917411, -0.223679)|
3044359126 |(44.3285, 329.551, 18.9615)| |(0.340919, -0.913305, -0.222819)|
3044368238 |(42.4528, 320.306, 28.8617)| |(0.343097, -0.91419, -0.215736)|
3044377254 |(39.5375, 310.496, 39.3287)| |(0.34683, -0.915927, -0.201959)|
3044386254 |(35.9409, 300.78, 49.5107)| |(0.346349, -0.917852, -0.193882)|
3044395242 |(32.0189, 291.3, 60.3883)| |(0.341181, -0.922746, -0.179262)|
3044404363 |(27.8583, 281.825, 71.4382)| |(0.333212, -0.929468, -0.158302)|
3044413325 |(24.3713, 272.107, 82.3066)| |(0.324299, -0.935752, -0.13856)|
3044422474 |(21.4596, 263.398, 93.3167)| |(0.316352, -0.942861, -0.104568)|
